genome	region	cds_before	cds_after	cds_delta	product_before	product_after	family_before	family_after
Pantoea_ananatis_99-4	JALKJO010000003.1.region001.gbk	29	29	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-6	JALKKG010000002.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-7	JALKLW010000001.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-8	JALKKH010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_99-9_2	JALKLX010000012.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_AJ13355	AP012032.2.region001.gbk	7	11	4	phosphonate	phosphonate	6	5
Pantoea_ananatis_ATCC_35400	JARNMU010000002.1.region001.gbk	10	11	1	phosphonate	phosphonate	7	6
Pantoea_ananatis_B1-9	CAEI01000109.1.region001.gbk	11	11	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_B1-9_2	CAEJ01000136.1.region001.gbk	11	11	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_B13	JAUHJU010000015.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_B7	LYOQ01000033.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_BAV3096	JASHLP010000001.1.region001.gbk	24	26	2	phosphonate	phosphonate	5	4
Pantoea_ananatis_BAV3096	JASHLP010000011.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_BAV3127	JASHLO010000001.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_BAV3127	JASHLO010000001.1.region002.gbk	24	26	2	phosphonate	phosphonate	5	4
Pantoea_ananatis_BD442	JMJL01000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	7	6
Pantoea_ananatis_BRT98	AYST01000002.1.region001.gbk	14	16	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_CSUP3	CM194831.1.region001.gbk		9			phosphonate		5
Pantoea_ananatis_Cit30-11	JXUI01000022.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_DAR_76143_DAR76143	BATH01000003.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_DAR_76143_DAR76143	BATH01000055.1.region001.gbk	7	7	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_DZ-12	RQJN01000001.1.region001.gbk	11	13	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_F-C2	SMZS01000005.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_FU-01	AP019753.1.region001.gbk	12	13	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_GCA_987119705.1	OZ496979.1.region001.gbk	9	9	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_GD04167	JAODYK010000017.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_IPG26	JAQNAK010000007.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_J-2	JBNFPX010000006.1.region001.gbk	9	11	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_J15-6	JBSPZW010000004.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_JBR-LB3-16	CP090356.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_JEL0891	JBYHZL010000009.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_JEL0892	JBYHZK010000001.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_LMG_20103	CP001875.2.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_LMG_2665	JFZU01000015.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_LMG_2665_2	JMJJ01000006.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_LMG_5342	HE617160.1.region001.gbk	10	14	4	phosphonate	phosphonate	2	2
Pantoea_ananatis_LMG_5342	HE617160.1.region002.gbk	14	28	14	phosphonate	phosphonate	18	4
Pantoea_ananatis_LPP-1	CP166503.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_M232A	LYOP01000033.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_MMB-1	JAABOW010000002.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_MMB-1	JAABOW010000009.1.region001.gbk	25	26	1	phosphonate	phosphonate	5	4
Pantoea_ananatis_NFIX48	FUXY01000003.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_NFR11	FPJM01000001.1.region001.gbk	21	25	4	phosphonate	phosphonate	5	4
Pantoea_ananatis_NFR11	FPJM01000004.1.region001.gbk	10	13	3	phosphonate	phosphonate	2	2
Pantoea_ananatis_OC5a	CP059084.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_P1A3	JBMUJK010000004.1.region001.gbk	10	12	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_PA13	CP003085.1.region001.gbk	11	13	2	phosphonate	phosphonate	2	2
Pantoea_ananatis_PA13	CP003085.1.region002.gbk	9	10	1	phosphonate	phosphonate	6	5
Pantoea_ananatis_PANS_01-2	NMZU01000003.1.region001.gbk	11	12	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_02-01	QRDI01000007.1.region001.gbk	27	31	4	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_02-01	QRDI01000020.1.region001.gbk	12	12	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_PANS_04-2	NMZV01000004.1.region001.gbk	10	11	1	phosphonate	phosphonate	6	5
Pantoea_ananatis_PANS_04-2	NMZV01000006.1.region001.gbk	25	26	1	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_1_2	JABDYR010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_1_5	JABDYS010000005.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_1_6	JABDYT010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_200_2	JABDZC010000001.1.region001.gbk	24	24	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_PANS_200_2	JABDZC010000004.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_2_1	JABDYW010000005.1.region001.gbk	27	27	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_2_1	JABDYW010000008.1.region001.gbk	12	12	0	phosphonate	phosphonate	6	5
Pantoea_ananatis_PANS_2_5	JABDYX010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_PANS_2_5	JABDYX010000003.1.region001.gbk	11	11	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_2_6	JABDYY010000005.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_2_7	JABDYZ010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
Pantoea_ananatis_PANS_2_7	JABDYZ010000004.1.region001.gbk	12	12	0	phosphonate	phosphonate	2	2
Pantoea_ananatis_PANS_2_8	JABDZA010000001.1.region001.gbk	25	25	0	phosphonate	phosphonate	5	4
