task_id	hash	name	status	exit	submit	start	complete	realtime	cpus	memory	peak_rss	peak_vmem	%cpu	%mem	rchar	wchar
11	55/076e02	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.705	2026-09-22 16:38:21.797	2026-09-22 16:38:29.265	4.9s	1	2 GB	15.1 MB	18.6 MB	65.9%	0.0%	941.3 MB	940.2 MB
23	d4/a94492	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.717	2026-09-22 16:38:21.806	2026-09-22 16:38:29.696	5.2s	1	2 GB	14.6 MB	18.6 MB	59.3%	0.0%	831.6 MB	830.5 MB
19	ff/d4a2c1	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.838	2026-09-22 16:38:21.899	2026-09-22 16:38:30.417	4.5s	1	2 GB	14.9 MB	18.6 MB	56.1%	0.0%	830.3 MB	829.2 MB
14	d1/095f90	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.673	2026-09-22 16:38:21.696	2026-09-22 16:38:30.963	6.4s	1	2 GB	14.9 MB	18.6 MB	51.3%	0.0%	974.3 MB	973.2 MB
18	51/59a385	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.808	2026-09-22 16:38:21.897	2026-09-22 16:38:31.436	5.3s	1	2 GB	15 MB	18.6 MB	50.7%	0.0%	854.4 MB	853.3 MB
25	62/ada696	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:21.863	2026-09-22 16:38:21.905	2026-09-22 16:38:31.470	5.7s	1	2 GB	14.9 MB	18.6 MB	52.9%	0.0%	1 GB	1 GB
8	86/cb908a	DOWNLOAD_GENOMES:EXTRACT_TAXONOMY (Extracting taxonomy from NCBI metadata)	COMPLETED	0	2026-09-22 16:38:20.304	2026-09-22 16:38:20.377	2026-09-22 16:38:32.665	11s	1	2 GB	855 MB	3 GB	116.3%	1.4%	522.1 MB	2.6 MB
20	1f/d5a727	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:26.729	2026-09-22 16:38:26.757	2026-09-22 16:38:35.424	4.4s	1	2 GB	15 MB	18.6 MB	57.6%	0.0%	878 MB	876.9 MB
36	f0/f4acd4	DOWNLOAD_GENOMES:RENAME_GENOMES (100 genomes)	COMPLETED	0	2026-09-22 16:38:28.540	2026-09-22 16:38:28.613	2026-09-22 16:38:35.466	3.1s	1	2 GB	14.6 MB	18.6 MB	51.2%	0.0%	534.9 MB	533.8 MB
37	3c/a19e49	DOWNLOAD_GENOMES:RENAME_GENOMES (84 genomes)	COMPLETED	0	2026-09-22 16:38:29.280	2026-09-22 16:38:29.366	2026-09-22 16:38:35.693	2.5s	1	2 GB	14.8 MB	18.6 MB	46.1%	0.0%	360.6 MB	359.5 MB
